name,rating,reviews,price_range,category,address,phone,website,hours,plus_code,description,google_maps_url,instagram,tiktok,photos,videos,reviews_data
"Wanmorn Cafe","4.6","40","","Wanmorn Cafe  4,6(40)Kafe","","","","","","","https://www.google.com/maps/place/Wanmorn+Cafe/data=!4m7!3m6!1s0x2e7856e1dd1741fb:0xba4d444984ad5c52!8m2!3d-7.8217377!4d111.9980705!16s%2Fg%2F11hcfm3n2g!19sChIJ-0EX3eFWeC4RUlythElETbo","","","","",""
"Koboi cafe Kediri","4.5","271","$","Koboi cafe Kediri  4,5(271)","","","","","","","https://www.google.com/maps/place/Koboi+cafe+Kediri/data=!4m7!3m6!1s0x2e78576d2615fb67:0x9a19cc04e1f235e!8m2!3d-7.8197924!4d112.0246735!16s%2Fg%2F11g8ljs1m1!19sChIJZ_sVJm1XeC4RXiMfTsCcoQk","","","","",""
"TEPIAN - Coffeeshop Kediri","4.5","234","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/TEPIAN+-+Coffeeshop+Kediri/data=!4m7!3m6!1s0x2e7857a153456c79:0x575c9dd694be2396!8m2!3d-7.8196874!4d111.9986991!16s%2Fg%2F11h3bnsjw9!19sChIJeWxFU6FXeC4RliO-lNadXFc","","","","",""
"Homely koffee","4.1","772","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Homely+koffee/data=!4m7!3m6!1s0x2e78570eadf435fd:0xd8fdb064a844201a!8m2!3d-7.7994326!4d112.0021968!16s%2Fg%2F11h196_wjj!19sChIJ_TX0rQ5XeC4RGiBEqGSw_dg","","","","",""
"ETAN MUNING ""sebuah tempat nongkrong""","4.9","25","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/ETAN+MUNING+%22sebuah+tempat+nongkrong%22/data=!4m7!3m6!1s0x2e78575ad26f723b:0x61af3120940da9fc!8m2!3d-7.827383!4d111.9977759!16s%2Fg%2F11rjj7l60r!19sChIJO3Jv0lpXeC4R_KkNlCAxr2E","","","","",""
"Green Cafe","4.4","96","Rp 1–25.000","Green Cafe  4,4(96)","","","","","","","https://www.google.com/maps/place/Green+Cafe/data=!4m7!3m6!1s0x2e78570005d84e1f:0xcae068097d4641f2!8m2!3d-7.8339689!4d112.0322053!16s%2Fg%2F11y6kyl6l4!19sChIJH07YBQBXeC4R8kFGfQlo4Mo","","","","",""
"Freeya Coffee","4.7","287","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Freeya+Coffee/data=!4m7!3m6!1s0x2e785717e56fbfcf:0xe44a8297e060814c!8m2!3d-7.8160092!4d112.0252784!16s%2Fg%2F11h560_qkp!19sChIJz79v5RdXeC4RTIFg4JeCSuQ","","","","",""
"Warung Kopi Wilis Kediri (WKWK)","4.6","305","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Warung+Kopi+Wilis+Kediri+%28WKWK%29/data=!4m7!3m6!1s0x2e7856c283d2b88d:0x5bcc9c98d8eb14ad!8m2!3d-7.8140805!4d111.9855345!16s%2Fg%2F11gdsf_zk9!19sChIJjbjSg8JWeC4RrRTr2JiczFs","","","","",""
"Lastay coffee","4.3","113","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Lastay+coffee/data=!4m7!3m6!1s0x2e7857f00b1d13df:0xee84745c6f86f0c5!8m2!3d-7.8158125!4d112.0250781!16s%2Fg%2F11rz2g3f6c!19sChIJ3xMdC_BXeC4RxfCGb1x0hO4","","","","",""
"Abank Coffee Kediri Tamanan","4.5","74","$","","","","","","","","https://www.google.com/maps/place/Abank+Coffee+Kediri+Tamanan/data=!4m7!3m6!1s0x2e7856f12b54a0c9:0x4c1fe69bcedb1cfd!8m2!3d-7.8294381!4d111.9846955!16s%2Fg%2F11b7y6p4tm!19sChIJyaBUK_FWeC4R_RzbzpvmH0w","","","","",""
